pair_id,winner,confidence,reason
P0078,right,slight,posted today with 17 dated events and 100% alt-text
P0079,right,clear,left has no menu and no task content at all
P0080,right,clear,left has no task content; right covers five of six and is fresh
P0081,right,slight,complete task coverage and 20 dated events against a 3-item menu
P0082,right,slight,service depth 10/12 and genuinely fresh content against undated notices
P0083,left,clear,search bar and 94% alt-text against no search and 13%
P0084,left,clear,right lists only admission notices and has 3/12 service depth
P0085,right,clear,left offers contact only; right at least has real content despite poor contrast
P0086,left,slight,right lists no programs; left is strong everywhere except the missing menu
P0087,left,slight,right has no programs listing and is 657 days stale
P0088,left,slight,94% alt-text against 2% and a real menu against zero items
P0089,left,slight,right has no contact route at all - a task-critical omission
P0090,left,clear,right has no task content and 0% alt-text despite a 20-item menu
P0091,left,clear,right has 1.3:1 contrast - the text cannot be read - and only two task items
P0092,right,clear,"real navigation, complete task coverage and deeper service"
P0093,left,slight,"notices posted today against undated ones, plus deeper service"
P0094,left,slight,"a working menu, a contact route and fresh notices"
P0095,right,slight,"complete task coverage, 100% alt-text and deeper service"
P0096,right,slight,"search bar, a real menu and notices posted today with dated events"
P0097,right,slight,"complete navigation, 100% alt-text and fresh dated events"
P0098,left,clear,"right has no menu, no task content and 0% alt-text"
P0099,right,slight,left's 1.1:1 contrast makes the text unreadable regardless of its content
P0100,left,clear,right is 98 days stale with 15 broken links and 14% alt-text
P0101,right,slight,"neither has task content, but right has 86% alt-text against 33% and deeper service"
P0102,left,clear,"right serves over plain HTTP, has no menu and 2% alt-text"
P0103,right,clear,left offers contact only and one service item
P0104,left,clear,"right has no menu, is 784 days stale and has 10% alt-text"
P0105,left,slight,"complete task coverage, a real menu and 20 dated events"
P0106,right,slight,"complete task coverage, notices posted today and 100% alt-text against 13%"
P0107,left,clear,right has no task content at all despite a wider menu
P0108,right,slight,a real 8-item menu and 91% alt-text against no menu and 66%
P0109,right,slight,"complete navigation with breadcrumb, better alt-text and real events"
P0110,left,slight,right has no contact route at all; left is also deeper in service
P0111,left,slight,"8/12 service depth against 3/12, fresher, with a language and accessibility toggle"
P0112,left,slight,complete task coverage and double the service depth
P0113,right,clear,left lists no academic programs; right does and is fresher and deeper
P0114,left,slight,right lists no programs and is 657 days stale
P0115,left,slight,right lists no academic programs despite better accessibility
P0116,left,clear,right has no task content at all
P0117,right,clear,left lists no programs and is 657 days stale; right is fresh with 100% alt-text
P0118,right,clear,"7 days stale against 662, and a department directory"
P0119,right,clear,"left has no menu, no task content and no service depth"
P0120,left,clear,right has no primary menu and no accessible design
P0121,left,slight,"complete task coverage, 88% alt-text against 40%, and full technical setup"
P0122,right,slight,left has no contact route; right is deeper with a language toggle
P0123,right,slight,department directory and fresh dated events against left's better alt-text
P0124,right,clear,"complete task coverage, 88% alt-text against 8%, and accessible design"
P0125,right,clear,"left has 1.4:1 contrast, mobile 0/100 and no programs listing"
P0126,right,slight,admission notices and an accessibility toggle against left's breadcrumb
P0127,right,slight,88% alt-text against 41% plus full technical setup and deeper service
P0128,left,slight,"breadcrumb navigation, real dated events and 8/12 depth against 5/12"
P0129,left,slight,67% alt-text against 15% and no broken links
P0130,left,slight,"a real menu, a logo and 20 dated events against a 1-item menu"
P0131,left,slight,department and faculty listings and far deeper service
P0132,left,clear,right offers contact only and zero service depth
P0133,right,slight,"10/12 depth, 100% alt-text and much fresher notices"
P0134,right,slight,accessibility toggle and complete technical setup separate two close profiles
P0135,left,clear,"full navigation, 11/12 depth and 98% alt-text against right's 2%"
P0136,right,slight,"search bar, fresher notices and full technical setup"
P0137,right,slight,"complete task coverage, deeper service and full technical setup"
P0138,left,slight,"notices posted today with dated events, 100% alt-text and deeper service"
P0139,right,slight,"faculty listing, 97% alt-text against 53% and deeper service"
P0140,right,clear,"complete task coverage, notices posted today and deeper service"
P0141,left,slight,department directory and no broken links against right's seven
P0142,right,slight,department directory and 9/12 service depth against 6/12
P0143,right,slight,"a real menu, fresh dated events and deeper service"
P0144,left,clear,"right has no menu, is 243 days stale and has 0% alt-text"
P0145,left,slight,right lists no academic programs and has 3/12 service depth
P0146,right,clear,left has no task content at all
P0147,left,slight,a 9-item menu against 2 and notices posted today against 39 days old
P0148,left,clear,right's 2.7:1 contrast fails basic readability and its menu has one item
P0149,right,slight,"real task content beats an empty shell, though right's missing HTTPS is a genuine fault"
P0150,left,slight,"search, breadcrumb, accessibility toggle and complete technical setup"
P0151,right,clear,left offers contact only; right at least lists programs and departments
P0152,left,clear,a working menu and a contact route against neither
P0153,right,slight,complete task coverage and a real 6-item menu against a 1-item one
P0154,left,clear,"department directory, notices posted today, and accessible design which right lacks"
P0155,right,slight,a working menu and logo are more fundamental than left's better alt-text
P0156,right,clear,"dated notices, 67% alt-text against 13%, and readable contrast"
P0157,left,clear,right's 2.7:1 contrast fails basic readability; left is also deeper
P0158,left,slight,"search bar, deeper service and far better alt-text"
P0159,right,slight,"department directory, notices posted today and 100% alt-text"
P0160,left,clear,right has no menu and no task content at all
P0161,left,slight,"department directory, deeper service and 100% alt-text"
P0162,right,slight,"100% alt-text, real dated events and deeper service"
P0163,right,slight,10/12 service depth and dated notices against undated ones
P0164,right,clear,"complete task coverage, 20 dated events and full technical setup"
P0165,right,slight,"admission notices, 11/12 service depth and fresh content"
P0166,left,slight,department directory and deeper service
P0167,left,slight,97% alt-text against 12% and deeper service
P0168,right,slight,"real task content beats a shell, despite being badly stale"
P0169,left,clear,right has no task content at all
P0170,right,slight,complete task coverage and complete 12/12 service depth
P0171,left,clear,complete task coverage and every service item present
P0172,left,slight,"complete task coverage including a contact route, which right lacks"
P0173,right,clear,"complete task coverage, 10/12 depth against 4/12, and 100% alt-text"
P0174,right,clear,"complete task coverage, dated notices and 100% alt-text"
P0175,left,slight,right lists no academic programs
P0176,right,slight,"a real 6-item menu against a 1-item one, plus deeper service and an accessibility toggle"
P0177,right,slight,"a working menu, a faculty listing and 98 days stale against 784"
P0178,right,clear,"left has no menu, 0% alt-text and no accessible design"
P0179,right,slight,"department directory, a 9-item menu and 88% alt-text"
P0180,right,slight,left lists neither departments nor faculty - two task-critical gaps
P0181,left,slight,"a real 7-item menu, faculty listing, fresh notices and 10/12 depth"
P0182,left,slight,a 0-item menu and 2% alt-text are two structural failures against one content gap
P0183,left,clear,right is 662 days stale with 3% alt-text and no department directory
P0184,right,clear,"admission notices, deeper service, accessibility toggle and full technical setup"
P0185,left,slight,a real menu with breadcrumb and a department directory against a 0-item menu
P0186,right,slight,"left lists no academic programs, the single most important item"
P0187,left,clear,right is 662 days stale with 3% alt-text
P0188,right,clear,"11/12 service depth against 2/12, fresh notices and 79% alt-text"
P0189,right,clear,"dated notices, 83% alt-text against 13%, and readable contrast"
P0190,right,slight,a real menu and admission notices posted today
P0191,right,clear,left has no HTTPS and no contact route; right is fresher and far deeper
P0192,left,slight,complete task coverage and deeper service
P0193,left,clear,complete task coverage and 9/12 depth against 2 task items and 10 broken links
P0194,right,clear,"five task items against two, plus a search bar and better alt-text"
P0195,left,slight,"10/12 service depth, 97% alt-text and notices posted yesterday"
P0196,right,clear,"complete task coverage including contact, and not 578 days stale"
P0197,right,slight,"a wider menu, a notice board and readable contrast"
P0198,right,slight,complete task coverage with breadcrumb navigation
P0199,left,clear,right is 662 days stale with 3% alt-text and no department directory
P0200,right,slight,"dated events with times, deeper service and an accessibility toggle"
P0201,left,slight,"dated notices with timed events, deeper service and 100% alt-text"
P0202,right,slight,left's 1.7:1 contrast is unreadable; right at least has faculty and deeper service
P0203,left,clear,"right has no HTTPS, no programs listing and 5/12 depth against 11/12"
P0204,right,clear,left has no menu and no task content at all
P0205,left,clear,right offers contact only and one service item
P0206,left,slight,right's 1.1:1 contrast makes the text invisible regardless of its 100% alt-text
P0207,left,slight,"complete task coverage, every service item present, and a search bar"
P0208,right,slight,notices posted today with 20 dated events against a wholly static site
P0209,right,clear,left has no menu and no task content
P0210,left,slight,"faculty listing, deeper service, fresher notices and no broken links"
P0211,left,slight,"10/12 depth against 5/12, 50% alt-text against 6%, and accessible design"
P0212,right,clear,"complete task coverage, a working menu and logo, and fresher content"
P0213,right,clear,"programs listing, 10/12 depth, 100% alt-text and notices posted today"
P0214,right,slight,"readable contrast against 2.4:1, plus deeper service and full technical setup"
P0215,right,slight,"an 11-item menu against 2, fresher notices and deeper service"
P0216,right,slight,left lists no academic programs
P0217,left,slight,"search bar, 100% alt-text and readable contrast against 4.5:1"
P0218,right,clear,"notices posted today with 20 events, deeper service and 100% alt-text"
P0219,right,clear,left's 1.8:1 contrast is unreadable and it has only two task items
P0220,left,clear,complete task coverage and dated notices against three task items
P0221,left,slight,notices posted today with timed events and 100% alt-text against 53%
P0222,right,clear,"dated notices, 100% alt-text against 13%, and readable contrast"
P0223,left,slight,"complete task coverage including a contact route, and deeper service"
P0224,left,slight,"complete navigation, 100% alt-text and nine dated events"
P0225,right,clear,"a contact route, 100% alt-text and not 578 days stale"
P0226,right,slight,left lists no academic programs and has 3/12 service depth
P0227,left,clear,"five task items against two, 10/12 depth against 2, and no broken links"
P0228,right,slight,"complete task coverage including admissions policy, and 100% alt-text"
P0229,left,clear,"right has one task item, is 113 days stale and has 3% alt-text"
P0230,left,slight,"search bar, admissions information and readable contrast against 4.5:1"
P0231,right,slight,"a contact route, a real menu and five dated events"
P0232,right,clear,"complete task coverage, 9/12 depth against 2/12, and 100% alt-text"
P0233,right,slight,department and faculty listings and deeper service
P0234,right,slight,"88% alt-text, an accessibility toggle and full technical setup"
P0235,left,slight,"notices posted today with timed events, and deeper service"
P0236,right,clear,left's 1.0:1 contrast means the text is invisible - nothing else can compensate
P0237,right,clear,left offers contact only; right has fresh notices and 10/12 depth
P0238,left,clear,right has no task content whatsoever
P0239,right,clear,"left has one task item, is 113 days stale and has 3% alt-text"
P0240,right,clear,"admission notices, notices posted today, 9/12 depth and 100% alt-text"
P0241,left,slight,dated notices with 16 events and deeper service
P0242,left,slight,"faculty listing, deeper service and 90% alt-text against 68%"
P0243,left,slight,a real 7-item menu and dated notices against a 2-item menu and none
P0244,left,slight,"complete task coverage, a real menu and full technical setup"
P0245,right,clear,left lists no programs and is 657 days stale
P0246,left,slight,"complete task coverage, 87% alt-text against 13%, and readable contrast"
P0247,left,clear,"right has no HTTPS, no menu, 2% alt-text and no accessible design"
P0248,left,slight,"real task content beats an empty shell, though left's missing HTTPS is a genuine fault"
P0249,right,slight,"notices posted today, 100% alt-text, deeper service and far faster"
P0250,left,slight,"100% alt-text, an accessibility toggle and deeper service"
P0251,right,slight,"faculty listing, notices posted today, 100% alt-text and full technical setup"
P0252,right,slight,dated notices and 9/12 service depth against 4/12
P0253,right,slight,four task items including departments and faculty against contact alone
P0254,right,slight,complete task coverage and 9/12 depth outweigh left's better alt-text
P0255,right,clear,"100% alt-text against 6%, accessible design, and not 130 days stale"
P0256,right,clear,notices posted today with 11 timed events and 9/12 depth against 2/12
P0257,right,slight,a logo and notices posted yesterday; both have poor alt-text
P0258,right,clear,"complete task coverage, dated notices, 100% alt-text and accessible design"
P0259,left,clear,a working menu and complete task coverage including a contact route
P0260,left,clear,"complete task coverage with programs listed, against 657 days stale"
P0261,right,slight,"a 9-item menu, better alt-text and full technical setup"
P0262,left,clear,"100% alt-text against 3%, accessible design, and complete navigation"
P0263,left,clear,"right is an empty page - no menu, no logo, no content of any kind"
P0264,right,clear,left's 1.1:1 contrast is unreadable; right has full technical setup
P0265,left,clear,right has no task content at all
P0266,right,slight,96% alt-text against 13% and full technical setup
P0267,left,slight,100% alt-text against 31% and readable contrast against 5.7:1
P0268,right,slight,four task items against contact alone
P0269,left,slight,a logo and notices posted today against no dated content and 0% alt-text
P0270,left,slight,"80% alt-text against 14%, deeper service and readable contrast"
P0271,right,clear,"complete task coverage, dated notices, 10/12 depth and 91% alt-text"
P0272,left,slight,a contact route and genuine freshness against 578 days stale
P0273,left,slight,100% alt-text against 3% and not 662 days stale
P0274,left,slight,"complete task coverage, a real menu with breadcrumb, and 100% alt-text"
P0275,right,slight,"admission notices, 100% alt-text and deeper service"
P0276,left,slight,"complete task coverage, a real menu, 10/12 depth and 100% alt-text"
P0277,right,slight,"search bar, 87% alt-text against 17%, and full technical setup"
P0278,right,slight,"a real 7-item menu against 1, a faculty listing and a notice board"
P0279,right,clear,"a real menu with breadcrumb, deeper service and mobile 100"
P0280,left,slight,"a contact route and admissions policy, which right lacks entirely"
P0281,right,slight,a 6-item menu with full navigation and nine dated events against a 1-item menu
P0282,right,slight,"an 11-item menu, dated notices and 10/12 service depth"
P0283,left,slight,"right has no task content at all, despite left's missing HTTPS"
P0284,left,clear,"complete task coverage, a wider menu, 100% alt-text and deeper service"
P0285,right,clear,"a real menu with search, complete task coverage and 20 dated events"
P0286,right,clear,"left has no menu, no task content and 0% alt-text"
P0287,right,slight,"a contact route, 100% alt-text against 42%, and deeper service"
P0288,right,clear,"four task items against two, dated events, and fewer broken links"
P0289,left,clear,"right has no HTTPS, no menu, 2% alt-text and 4/12 depth against 12/12"
P0290,left,slight,"department listing, 100% alt-text against 29%, and deeper service"
P0291,left,clear,"right has one task item, is 113 days stale and has 3% alt-text"
P0292,left,slight,right lists no academic programs; left also has 100% alt-text
P0293,left,slight,a 10-item menu and 10/12 service depth against 8/12
P0294,left,slight,a contact route and five service items against a menu leading to nothing
P0295,left,slight,complete task coverage and twice the service depth
P0296,left,slight,right's 1.7:1 contrast is unreadable and it has no menu
P0297,left,clear,right offers contact only and two service items
P0298,right,slight,faculty listing and a notice board against left's admissions policy
P0299,left,slight,"complete task coverage including contact, and 100% alt-text"
P0300,left,clear,right has no task content at all despite a comparable menu
P0301,left,clear,"right combines 3% alt-text, 4.5:1 contrast and no accessible design - a systematic failure"
P0302,right,slight,a contact route and a 9-item menu against a 1-item menu and no contact
P0303,left,slight,right lists no academic programs
P0304,left,slight,notices posted today with 20 events against a site with no dated content at all
P0305,right,slight,100% alt-text against 13% and readable navigation with breadcrumb
P0306,left,slight,notices posted yesterday with 18 timed events against a menu leading to contact alone
P0307,left,slight,right's 1.0:1 contrast makes the text invisible - depth cannot compensate
P0308,left,clear,"complete task coverage, a search bar, and notices posted today with nine events"
P0309,left,slight,search bar and 100% alt-text against 13%
P0310,left,clear,"complete task coverage, deeper service, and no broken links against 21"
P0311,left,slight,"admission notices, a 10-item menu and 100% alt-text"
P0312,right,clear,left has no menu and no task content at all
P0313,right,clear,82% alt-text against 12% and twenty dated events
P0314,right,slight,"notices posted this week, 100% alt-text and deeper service"
P0315,right,clear,"complete task coverage, deeper service, 100% alt-text and an accessibility toggle"
P0316,right,clear,left offers contact only and has 11% alt-text
P0317,right,slight,two task items against none at all
P0318,left,clear,right has no task content whatsoever
P0319,left,slight,"search bar, admission notices and twelve events against no search"
P0320,left,slight,complete task coverage and fresh content against no programs and 657 days stale
P0321,left,clear,"complete task coverage, a wider menu and deeper service"
P0322,left,slight,"neither has task content, but left at least shows a dated notice board"
P0323,left,slight,a working menu and 63% alt-text against a 0-item menu and 2%
P0324,right,clear,department directory and notices four days old against 375
P0325,right,slight,"complete task coverage, a logo, and notices posted today with seven events"
P0326,right,slight,a real 10-item menu and readable contrast against 2.7:1 and a 1-item menu
P0327,left,slight,"right's 1.1:1 contrast makes the page unusable, which outweighs left's broken links"
P0328,right,slight,"a wider menu with breadcrumb, deeper service and full technical setup"
P0329,right,slight,left lists no academic programs at all
P0330,left,clear,"five task items including programs and contact, against two and 1.3:1 contrast"
P0331,right,slight,"complete task coverage, 98% alt-text against 29%, and fresher notices"
P0332,right,slight,"search bar, 62% alt-text against 13%, and deeper service"
P0333,left,clear,"breadcrumb, deeper service, 48% alt-text against 12%, and accessible design"
P0334,right,clear,complete task coverage and 10/12 depth against one task item
P0335,left,clear,"91% alt-text against 3%, accessible design, and readable contrast"
P0336,left,slight,"dated notices, 10/12 service depth and full technical setup"
P0337,left,slight,"notices four days old against 784, and 92% alt-text against 10%"
P0338,right,clear,"department directory, notices posted today and deeper service"
P0339,right,clear,left has no task content at all
P0340,right,clear,"four task items against one, and not 641 days stale"
P0341,left,slight,"no broken links against 39, plus full technical setup"
P0342,right,clear,"a real menu, 100% alt-text against 0%, and deeper service"
P0343,left,clear,"a real menu with logo, 100% alt-text and seventeen timed events"
P0344,left,clear,"a logo, notices posted today and 83% alt-text against 0%"
P0345,right,slight,"readable contrast, a 7-item menu and deeper service against 2.7:1"
P0346,left,clear,right has one task item and zero service depth
P0347,left,clear,right's 1.1:1 contrast is unreadable; left is fresher and deeper
P0348,right,slight,"a wider menu, deeper service, mobile 100 and full technical setup"
P0349,left,slight,complete task coverage and 100% alt-text against a 0-item menu and 2%
P0350,right,slight,"department directory, dated notices and sixteen events"
P0351,right,slight,"complete task coverage including a contact route, which left lacks entirely"
P0352,left,clear,a real 8-item menu and 97% alt-text against a 0-item menu and 2%
P0353,right,slight,9/12 service depth against 4/12 and an accessibility toggle
P0354,right,slight,"department directory, a 9-item menu and notices posted today"
P0355,right,slight,"complete navigation with breadcrumb, a faculty listing and nine events"
P0356,right,clear,left has no menu and 1.7:1 contrast; right is complete and fresh
P0357,right,clear,left's 1.0:1 contrast makes the page invisible; right is fresh with 100% alt-text
P0358,right,slight,complete task coverage and fresh events; both carry one severe defect
P0359,left,slight,"notices posted today with events, and 9/12 service depth against 4/12"
P0360,left,clear,right has no HTTPS and lists no academic programs
P0361,right,clear,"96% alt-text against 3%, accessible design, and readable contrast"
P0362,left,slight,"neither has task content, but left is deeper with 86% alt-text against 18%"
P0363,left,slight,"86% alt-text against 22%, an accessibility toggle and full technical setup"
P0364,right,slight,"complete task coverage, fresher notices and deeper service"
P0365,left,slight,95% alt-text against 40% and readable contrast against 4.9:1
P0366,left,slight,"complete task coverage, 100% alt-text against 40%, and fresher notices"
P0367,right,clear,"admission notices, notices posted today, deeper service and 91% alt-text"
P0368,right,clear,"breadcrumb, 100% alt-text against 13%, and 9/12 depth against 4/12"
P0369,left,slight,"86% alt-text against 3%, accessible design and readable contrast"
P0370,right,clear,"complete task coverage, a real menu and 100% alt-text against 11%"
P0371,left,slight,readable text and a working menu; right's 2.7:1 contrast cancels its freshness
P0372,right,clear,"a real 8-item menu, 100% alt-text against 2%, and dated events"
P0373,left,slight,"complete task coverage, 100% alt-text against 40%, and an accessibility toggle"
P0374,left,slight,"a real menu with breadcrumb, a department directory and 100% alt-text"
P0375,right,clear,"a working menu, dated notices and twice the service depth"
P0376,right,slight,"department and faculty listings, a wider menu and readable contrast"
P0377,right,slight,notices posted today against a site with no dated content at all
P0378,right,clear,a real menu and 8/12 service depth against one service item
P0379,right,slight,"admission notices, notices posted today with 20 events, and deeper service"
P0380,left,clear,a working menu and a department directory against a 0-item menu
P0381,right,clear,"complete task coverage, 100% alt-text, and not 375 days stale"
P0382,right,slight,dated notices with timed events against no dated content at all
P0383,right,clear,"right lists academic programs, has 100% alt-text and full technical setup"
P0384,left,clear,right is an entirely empty page
P0385,left,slight,"an academic programs listing, which right lacks entirely"
P0386,right,clear,"left has no menu, 0% alt-text and mobile 0/100"
P0387,left,slight,a wider menu and notices posted today; seven broken links is a bounded fault
P0388,left,slight,"fresh notices, 71% alt-text against 14%, deeper service and no broken links"
P0389,right,clear,"86% alt-text against 3%, accessible design and twelve events"
P0390,right,slight,"contact route, department directory and dated notices"
P0391,right,slight,"complete task coverage, a real menu and notices posted today with nine events"
P0392,right,clear,left has no menu and no task content at all
P0393,left,slight,a contact route and breadcrumb navigation against no contact
P0394,left,slight,"a contact route, notices posted today against 109 days stale, and deeper service"
P0395,right,slight,complete task coverage and every service item present
P0396,right,clear,"five task items against one, dated notices and 91% alt-text"
P0397,right,slight,real task content beats a menu leading nowhere
P0398,left,clear,right's 1.1:1 contrast is unreadable; left has complete task coverage and fresh notices
P0399,right,slight,right lists academic programs and has 100% alt-text
P0400,right,clear,left has no task content and 0% alt-text despite a 20-item menu
P0401,right,clear,"complete navigation with breadcrumb and logo, 11/12 depth, and notices posted today"
P0402,right,clear,"complete task coverage with programs, posted today, against 657 days stale"
P0403,right,slight,department directory and notices four days old against 662
P0404,right,slight,"100% alt-text against 31%, readable contrast and mobile 100"
P0405,left,clear,right has no menu and no task content at all
P0406,left,slight,"department directory, 100% alt-text against 29%, and deeper service"
P0407,right,slight,"8/12 service depth against 2/12, 66% alt-text against 13%, and dated events"
P0408,right,clear,"complete task coverage, notices posted today with eleven timed events, 100% alt-text"
P0409,right,slight,complete task coverage and 100% alt-text
P0410,left,slight,"complete task coverage, breadcrumb, 100% alt-text and sixteen events"
P0411,left,slight,department directory and twenty timed events; right's 1.0:1 contrast is worse still
P0412,left,clear,"right has no HTTPS, no menu, 2% alt-text and no accessible design"
P0413,left,slight,100% alt-text against 13% and an admissions policy
P0414,right,clear,"a real menu with search and logo, 100% alt-text, and notices posted today"
P0415,right,slight,notices posted today with timed events against no dated content at all
P0416,right,slight,complete task coverage and readable contrast against 2.4:1
P0417,right,slight,"complete task coverage, deeper service and 87% alt-text"
P0418,left,clear,"a real menu with search, 88% alt-text against 0%, and deeper service"
P0419,left,slight,a contact route and a dated notice board against no task content
P0420,right,clear,"five task items against two, dated notices and five timed events"
P0421,left,clear,"complete task coverage, 10/12 depth against 4/12, and 94% alt-text against 13%"
P0422,right,clear,"readable contrast against 2.7:1, a wider menu, more events and deeper service"
P0423,left,clear,"complete task coverage, a working menu and 100% alt-text against 5%"
P0424,right,clear,"full navigation, 11/12 depth, 98% alt-text and twelve timed events"
P0425,left,clear,right has no HTTPS and no accessible design; left is also deeper
P0426,right,slight,complete task coverage and breadcrumb navigation against a 2nd-percentile slow site
P0427,left,slight,"complete task coverage, a logo and a wider menu"
P0428,left,slight,an academic programs listing and fresher dated notices
P0429,left,clear,"complete navigation, 100% alt-text and nine timed events posted today"
P0430,right,slight,"100% alt-text against 33%, a department directory and deeper service"
P0431,right,clear,"five task items against two, 8/12 depth against 2/12, and no broken links"
P0432,left,clear,three task items and 6/12 depth against contact alone
P0433,right,slight,96% alt-text against 40% and readable contrast against 4.9:1
P0434,right,clear,an academic programs listing and 8/12 depth against one service item
P0435,right,slight,department directory and eleven timed events posted today
P0436,right,slight,left lists no academic programs and no departments
P0437,left,slight,a working 11-item menu and genuinely fresh dated events
P0438,left,clear,right has no task content at all
P0439,right,clear,"right lists academic programs, is deeper and has 92% alt-text"
P0440,left,slight,"complete task coverage including programs, which right lacks entirely"
P0441,left,clear,"a contact route, twenty timed events posted today, and deeper service"
P0442,left,slight,"department directory, dated notices and 100% alt-text"
P0443,right,clear,"programs listing, notices posted yesterday against 657 days, and 97% alt-text"
P0444,right,slight,"department directory, notices posted today and 83% alt-text"
P0445,right,clear,"five task items against two, dated notices and far deeper service"
P0446,left,slight,"search bar, faculty listing and readable text against 1.7:1 contrast"
P0447,left,slight,"real task content beats an empty shell, though left's missing HTTPS is a genuine fault"
P0448,left,slight,"complete task coverage, a real menu and 100% alt-text"
P0449,right,slight,"75% alt-text against 52%, timed events and full technical setup"
P0450,left,slight,"HTTPS and a contact route, both of which right lacks"
