feature,block,type,formula,reason,expected_interpretation,direction,missing_treatment,notes,slr_factor
a11y_completeness_B11,B11_accessibility,percentage,mean of the 3 binary attributes in B11_accessibility,"Information completeness within a conceptual dimension, on a common 0-1 scale regardless of how many columns the block happens to contain.",Higher is better. 1.0 = every element in the block present.,1,No missing values among these binaries.,"members: a73_accessible_design, a74_a11y_toggle, a75_bookmark",Functionality
seo_completeness_B10,B10_seo_metadata,percentage,mean of the 3 binary attributes in B10_seo_metadata,"Information completeness within a conceptual dimension, on a common 0-1 scale regardless of how many columns the block happens to contain.",Higher is better. 1.0 = every element in the block present.,1,No missing values among these binaries.,"members: a69_title_meta, a70_favicon, a71_sitemap_robots",Functionality
nav_completeness_B1,B1_header_nav,percentage,mean of the 5 binary attributes in B1_header_nav,"Information completeness within a conceptual dimension, on a common 0-1 scale regardless of how many columns the block happens to contain.",Higher is better. 1.0 = every element in the block present.,1,No missing values among these binaries.,"members: a01_logo, a02_primary_nav, a04_search_bar, a05_language_toggle, a06_breadcrumb",Usability
events_completeness_B4,B4_events_media,percentage,mean of the 8 binary attributes in B4_events_media,"Information completeness within a conceptual dimension, on a common 0-1 scale regardless of how many columns the block happens to contain.",Higher is better. 1.0 = every element in the block present.,1,No missing values among these binaries.,"members: a23_upcoming_events, a25_event_images, a26_event_captions, a27_event_datetime, a28_contests, a29_video_content, a30_image_gallery, a31_social_feed_embed",Specific content
service_completeness_B8,B8_service_interact,percentage,mean of the 4 binary attributes in B8_service_interact,"Information completeness within a conceptual dimension, on a common 0-1 scale regardless of how many columns the block happens to contain.",Higher is better. 1.0 = every element in the block present.,1,No missing values among these binaries.,"members: a58_live_chat, a59_feedback_form, a60_trust_seal, a61_testimonials",Service interaction quality
nav_quality,B1_header_nav,continuous,"piecewise-linear curve on a03_nav_item_count, knots ([0, 1, 2, 3, 4, 5, 9, 12, 15, 20], [0, 0.15, 0.35, 0.6, 0.85, 1.0, 1.0, 0.78, 0.6, 0.45])",Navigation is the clearest case where 'more' is not 'better': 0-1 items is a broken menu and 20 items is an undifferentiated dump. A linear term cannot express this.,Higher is better. Peaks on 5-9 top-level items.,0,No missing values.,"a03 is right-censored at 20 (audit F11), so the decline also absorbs the cap artefact.",Usability
a18_missing,B3_notices_updates,binary,1 if a18_recent_notice_date is null else 0,"NULL IS NOT ZERO. For a18 the missingness is a quality signal in itself (no dated notice was found); for a72/a53 it records a failed measurement, which must not be confused with a bad measurement.","For a18, 1 tends to mean worse. For a72/a53, 1 means unmeasured - direction unknown.",0,n/a - this IS the missingness treatment.,,Information quality
a72_missing,B11_accessibility,binary,1 if a72_alt_text_pct is null else 0,"NULL IS NOT ZERO. For a18 the missingness is a quality signal in itself (no dated notice was found); for a72/a53 it records a failed measurement, which must not be confused with a bad measurement.","For a18, 1 tends to mean worse. For a72/a53, 1 means unmeasured - direction unknown.",0,n/a - this IS the missingness treatment.,,Functionality
a53_missing,B7_visual_design,binary,1 if a53_contrast_ratio is null else 0,"NULL IS NOT ZERO. For a18 the missingness is a quality signal in itself (no dated notice was found); for a72/a53 it records a failed measurement, which must not be confused with a bad measurement.","For a18, 1 tends to mean worse. For a72/a53, 1 means unmeasured - direction unknown.",0,n/a - this IS the missingness treatment.,,Web appearance
a01_logo,B1_header_nav,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Usability
a02_primary_nav,B1_header_nav,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Usability
a03_nav_item_count,B1_header_nav,numeric,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Non-monotone - see curve.,0,verified absence (0) unless listed in assumptions.md,,Usability
a04_search_bar,B1_header_nav,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Usability
a05_language_toggle,B1_header_nav,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Usability
a06_breadcrumb,B1_header_nav,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Usability
a07_qs_badge,B2_rankings_recog,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,"LOWEST TIER: self-promotion signal, trivially gamed",Information quality
a09_national_rank,B2_rankings_recog,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,"LOWEST TIER: self-promotion signal, trivially gamed",Information quality
a11_accreditation,B2_rankings_recog,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,"LOWEST TIER: self-promotion signal, trivially gamed",Information quality
a12_accred_count,B2_rankings_recog,numeric,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Information quality
a13_achievements,B2_rankings_recog,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,"LOWEST TIER: self-promotion signal, trivially gamed",Information quality
a14_stats_block,B2_rankings_recog,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Information quality
a15_stat_item_count,B2_rankings_recog,numeric,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Information quality
a16_notice_board,B3_notices_updates,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Information quality
a17_notice_timestamp,B3_notices_updates,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Information quality
a18_recent_notice_date,B3_notices_updates,numeric,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Information quality
a20_news_events,B3_notices_updates,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Information quality
a21_calendar_link,B3_notices_updates,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Information quality
a22_admission_notice,B3_notices_updates,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Information quality
a23_upcoming_events,B4_events_media,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Specific content
a24_event_count,B4_events_media,numeric,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Non-monotone - see curve.,0,verified absence (0) unless listed in assumptions.md,,Specific content
a25_event_images,B4_events_media,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Specific content
a26_event_captions,B4_events_media,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Specific content
a27_event_datetime,B4_events_media,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Specific content
a28_contests,B4_events_media,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Specific content
a29_video_content,B4_events_media,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Specific content
a30_image_gallery,B4_events_media,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Specific content
a31_social_feed_embed,B4_events_media,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Specific content
a32_vision_mission,B5_page_content,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Specific content
a33_about_blurb,B5_page_content,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Specific content
a34_department_links,B5_page_content,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Specific content
a35_faculty_link,B5_page_content,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Specific content
a36_research_highlight,B5_page_content,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Specific content
a37_programs_listing,B5_page_content,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Specific content
a38_scholarship,B5_page_content,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Specific content
a39_library_link,B5_page_content,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Specific content
a40_career_link,B5_page_content,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Specific content
a41_alumni_link,B5_page_content,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Specific content
a42_faq_link,B5_page_content,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Specific content
a43_contact_link,B5_page_content,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Specific content
a44_student_portal,B5_page_content,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Specific content
a45_prospectus,B5_page_content,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Specific content
a46_admissions_policy,B5_page_content,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Specific content
a47_footer_contact,B6_footer,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Usability
a48_footer_sitemap,B6_footer,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Usability
a49_copyright_line,B6_footer,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Usability
a50_social_links,B6_footer,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Usability
a51_quick_links,B6_footer,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Usability
a53_contrast_ratio,B7_visual_design,numeric,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Web appearance
a54_banner_carousel,B7_visual_design,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Non-monotone - see curve.,0,verified absence (0) unless listed in assumptions.md,negative direction: auto-rotating carousels harm usability,Web appearance
a57_logo_prominence,B7_visual_design,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Web appearance
a58_live_chat,B8_service_interact,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Service interaction quality
a59_feedback_form,B8_service_interact,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Service interaction quality
a60_trust_seal,B8_service_interact,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,"LOWEST TIER: self-promotion signal, trivially gamed",Service interaction quality
a61_testimonials,B8_service_interact,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,"LOWEST TIER: self-promotion signal, trivially gamed",Service interaction quality
a63_mobile_score,B9_technical_perf,numeric,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Functionality
a65_https,B9_technical_perf,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Functionality
a66_broken_links,B9_technical_perf,numeric,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Lower is better.,-1,verified absence (0) unless listed in assumptions.md,,Functionality
a67_gzip,B9_technical_perf,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Functionality
a69_title_meta,B10_seo_metadata,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Functionality
a70_favicon,B10_seo_metadata,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Functionality
a71_sitemap_robots,B10_seo_metadata,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Functionality
a72_alt_text_pct,B11_accessibility,numeric,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Functionality
a73_accessible_design,B11_accessibility,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Functionality
a74_a11y_toggle,B11_accessibility,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,,Functionality
a75_bookmark,B11_accessibility,binary,as scraped (schema Table 2),Retained landing-page attribute from the frozen 69-attribute specification.,Higher/present is better.,1,verified absence (0) unless listed in assumptions.md,"LOWEST TIER: self-promotion signal, trivially gamed",Functionality
